Dataset,Algoritmo,Configuracion,Ejecucion,Hypervolume,Tiempo,Generaciones_Iteraciones,Tamaño_Pareto,Num_Puntos_Pareto,Costo_Medio,Minutos_Medios
users4.json,NSGA-II,uniform_inversion_high_mutation,13,0.19242477584974604,1588.9687569141388,115,22,22,5133.815909090909,1974593.848636361
users4.json,NSGA-II,uniform_inversion_high_mutation,14,0.2248703996133179,1556.5960457324982,112,21,21,5065.438095238096,1978538.4895238092
users4.json,NSGA-II,uniform_inversion_high_mutation,15,0.12219671952004829,1150.7273390293121,82,11,11,5270.383636363637,1896941.2563636356
users4.json,NSGA-II,uniform_inversion_high_mutation,16,0.2609731335244747,2391.115974187851,170,27,27,5023.700000000001,1982081.9285185216
users4.json,NSGA-II,uniform_inversion_high_mutation,17,0.3882086105803012,3236.8242485523224,227,30,30,4816.5723333333335,2038833.715000003
users4.json,NSGA-II,uniform_inversion_high_mutation,18,0.1776140418499223,1407.3599519729614,98,15,15,5183.510666666668,1956514.6286666675
users4.json,NSGA-II,uniform_inversion_high_mutation,19,0.2227476352723701,2087.262736558914,143,17,17,5052.413529411766,1990956.0347058882
users4.json,NSGA-II,uniform_inversion_high_mutation,20,0.7566148336326993,5134.2678327560425,339,14,14,4028.867857142857,2111652.246428574
users4.json,NSGA-II,uniform_inversion_high_mutation,21,0.3261247934964825,2320.8518052101135,157,9,9,4774.8055555555575,2011245.477777777
users4.json,NSGA-II,uniform_inversion_high_mutation,22,0.11855594544443104,1301.0784373283386,88,15,15,5369.820666666668,1940202.8746666713
users4.json,NSGA-II,uniform_inversion_high_mutation,23,0.401315462627891,3014.631092071533,172,16,16,4809.870000000001,2085213.7306249982
users4.json,NSGA-II,uniform_inversion_high_mutation,24,0.4272959367260837,7864.860779047012,304,17,17,4686.259411764706,2062160.8111764705
users4.json,NSGA-II,uniform_inversion_high_mutation,25,0.19570063991263636,3933.9109354019165,166,14,14,5262.882142857145,2015014.427142861
